"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"1960","Latvia","Natural change of population","14,154",""
"1960","Latvia","Net migration plus statistical adjustment","19,548",""
"1960","Lithuania","Population on 1 January - total ","2,755,600",""
"1960","Lithuania","Live births - total","62,485",""
"1960","Lithuania","Deaths - total","21,611",""
"1960","Lithuania","Natural change of population","40,874",""
"1960","Lithuania","Net migration plus statistical adjustment","5,026",""
"1960","Luxembourg","Population on 1 January - total ","313,050",""
"1960","Luxembourg","Live births - total","5,019",""
"1960","Luxembourg","Deaths - total","3,716",""
"1960","Luxembourg","Natural change of population","1,303",""
"1960","Luxembourg","Net migration plus statistical adjustment","536",""
"1960","Hungary","Population on 1 January - total ","9,961,044",""
"1960","Hungary","Live births - total","146,461",""
"1960","Hungary","Deaths - total","101,525",""
"1960","Hungary","Natural change of population","44,936",""
"1960","Hungary","Net migration plus statistical adjustment","909",""
"1960","Malta","Population on 1 January - total ","327,200",""
"1960","Malta","Live births - total","8,565",""
"1960","Malta","Deaths - total","2,819",""
"1960","Malta","Natural change of population","5,746",""
"1960","Malta","Net migration plus statistical adjustment","-7,046",""
"1960","Netherlands","Population on 1 January - total ","11,417,254",""
"1960","Netherlands","Live births - total","239,128",""
"1960","Netherlands","Deaths - total","87,486",""
"1960","Netherlands","Natural change of population","151,642",""
"1960","Netherlands","Net migration plus statistical adjustment","-12,888",""
"1960","Austria","Population on 1 January - total ","7,030,385",""
"1960","Austria","Live births - total","125,945",""
"1960","Austria","Deaths - total","89,603",""
"1960","Austria","Natural change of population","36,342",""
"1960","Austria","Net migration plus statistical adjustment","-2,034",""
"1960","Poland","Population on 1 January - total ","29,479,900",""
"1960","Poland","Live births - total","669,485",""
"1960","Poland","Deaths - total","224,167",""
"1960","Poland","Natural change of population","445,318",""
"1960","Poland","Net migration plus statistical adjustment","-130,218",""
"1960","Portugal","Population on 1 January - total ","8,826,040",""
"1960","Portugal","Live births - total","213,895",""
"1960","Portugal","Deaths - total","95,009",""
"1960","Portugal","Natural change of population","118,886",""
"1960","Portugal","Net migration plus statistical adjustment","-55,534",""
"1960","Romania","Population on 1 January - total ","18,319,210",""
"1960","Romania","Live births - total","352,241",""
"1960","Romania","Deaths - total","160,720",""
"1960","Romania","Natural change of population","191,521",""
"1960","Romania","Net migration plus statistical adjustment","-16,131",""
"1960","Slovenia","Population on 1 January - total ","1,580,535",""
"1960","Slovenia","Live births - total","27,825",""
"1960","Slovenia","Deaths - total","15,145",""
"1960","Slovenia","Natural change of population","12,680",""
"1960","Slovenia","Net migration plus statistical adjustment","-4,311",""
"1960","Slovakia","Population on 1 January - total ","3,969,682",""
"1960","Slovakia","Live births - total","88,412",""
"1960","Slovakia","Deaths - total","31,609",""
"1960","Slovakia","Natural change of population","56,803",""
"1960","Slovakia","Net migration plus statistical adjustment","140,022",""
"1960","Finland","Population on 1 January - total ","4,413,046",""
"1960","Finland","Live births - total","82,129",""
"1960","Finland","Deaths - total","39,797",""
"1960","Finland","Natural change of population","42,332",""
"1960","Finland","Net migration plus statistical adjustment","-9,156",""
"1960","Sweden","Population on 1 January - total ","7,471,345",""
"1960","Sweden","Live births - total","102,219",""
"1960","Sweden","Deaths - total","75,093",""
"1960","Sweden","Natural change of population","27,126",""
"1960","Sweden","Net migration plus statistical adjustment","-504",""
"1960","United Kingdom","Population on 1 January - total ","52,200,000",""
"1960","United Kingdom","Live births - total","918,286",""
"1960","United Kingdom","Deaths - total","603,300",""
"1960","United Kingdom","Natural change of population","314,986",""
"1960","United Kingdom","Net migration plus statistical adjustment","85,014",""
"1960","European Economic Area (EU28 plus IS, LI, NO)","Population on 1 January - total ","410,489,590",""
"1960","European Economic Area (EU28 plus IS, LI, NO)","Live births - total",":",""
"1960","European Economic Area (EU28 plus IS, LI, NO)","Deaths - total",":",""
